income_declared,income_detected,address_mismatch,device_location,document_authenticity_score,account_balance_pattern,employment_mismatch,rapid_loan_requests,fraud_probability,fraud_flag
46819,19280,0,0,0.85,0.76,0,0,0.243,0
66055,48175,0,4,0.7,0.96,0,1,0.37,0
140156,154850,0,2,0.59,0.88,1,0,0.139,0
32842,3924,1,0,0.87,0.58,0,1,0.741,1
164118,166408,0,2,0.94,1.0,0,1,0.22,0
28733,15737,1,2,0.82,0.13,1,0,0.403,0
79226,54197,0,3,0.98,0.32,0,0,0.116,0
173869,145924,0,4,0.71,0.85,0,0,0.129,0
55531,74145,0,1,0.72,0.65,1,0,0.187,0
192256,168506,0,1,0.5,0.81,0,0,0.168,0
151439,132208,0,1,0.78,0.83,0,0,0.099,0
49131,38529,0,2,0.44,0.88,0,0,0.216,0
28217,13024,0,2,0.86,0.68,0,0,0.223,0
160104,158940,1,3,0.59,0.84,0,0,0.305,0
122854,111575,0,1,0.75,0.72,1,0,0.095,0
56717,41241,0,0,0.94,0.21,0,0,0.111,0
54885,28784,0,0,0.78,0.32,0,0,0.221,0
100587,120170,0,1,0.46,0.71,0,0,0.203,0
145211,137919,0,0,0.73,0.76,0,0,0.085,0
134862,134665,0,0,0.89,0.14,0,0,0.028,0
132138,134331,0,3,0.48,0.51,1,1,0.336,0
199198,186856,0,1,0.41,0.72,0,0,0.169,0
56889,28494,0,3,0.46,0.54,0,1,0.51,0
37792,37445,0,3,0.58,0.41,0,0,0.108,0
74817,88385,0,0,0.47,0.64,0,0,0.196,0
136086,122104,1,3,0.48,0.27,0,0,0.366,0
102579,95952,0,4,0.51,0.17,1,0,0.145,0
184801,161206,0,2,0.81,0.12,0,0,0.092,0
47693,50942,0,0,0.64,0.79,0,1,0.314,0
53727,67935,0,2,0.41,0.22,0,0,0.24,0
28163,7853,0,1,0.89,0.1,0,0,0.28,0
145249,140848,0,4,0.84,0.35,0,0,0.051,0
32041,47164,0,0,0.42,0.11,0,0,0.31,0
43786,14259,0,0,0.72,0.98,0,0,0.306,0
125494,137600,0,4,0.99,1.0,0,0,0.036,0
32094,51420,0,3,0.87,0.74,0,0,0.243,0
103647,98539,0,2,0.64,0.17,0,1,0.307,0
196544,213266,0,2,0.9,0.21,0,0,0.055,0
195067,211486,0,3,0.48,0.8,0,0,0.159,0
109480,106122,0,2,0.86,0.94,0,0,0.046,0
75457,76236,0,1,0.92,0.35,0,0,0.024,0
47205,59016,0,4,0.95,0.81,0,0,0.1,0
23163,17986,1,2,0.63,0.84,0,1,0.571,1
152864,157652,0,1,0.5,0.28,1,0,0.136,0
81610,59330,0,2,0.77,0.79,0,0,0.153,0
64313,72011,0,0,0.53,0.7,0,0,0.159,0
31603,19027,0,4,0.5,0.72,0,0,0.264,0
69712,79300,1,2,0.69,0.97,0,0,0.326,0
121247,111966,0,1,0.63,0.31,0,0,0.119,0
29252,13860,0,0,0.69,0.16,0,0,0.262,0
74407,64429,0,3,0.62,0.75,0,0,0.142,0
94307,105229,0,2,0.62,0.76,0,0,0.136,0
132117,136856,0,0,0.96,0.19,0,0,0.023,0
122075,100332,0,0,0.8,0.13,0,0,0.112,0
172543,142996,0,3,0.91,0.76,0,0,0.082,0
117581,126249,0,2,0.67,0.35,0,1,0.308,0
77307,63207,0,4,0.56,0.41,0,1,0.374,0
153524,133131,1,0,0.55,0.86,0,1,0.559,1
23074,33703,0,3,0.83,0.56,0,1,0.404,0
186336,205737,0,3,0.76,0.9,0,0,0.096,0
110163,125536,0,3,0.49,0.97,0,1,0.376,0
26762,15487,0,2,0.86,0.94,0,0,0.182,0
86774,81837,0,1,0.52,0.81,0,0,0.14,0
165063,151940,1,3,0.94,0.62,0,0,0.243,0
137170,143577,0,2,0.67,0.83,0,0,0.099,0
72031,66697,0,1,0.48,0.88,0,0,0.156,0
44624,50098,0,0,0.85,0.79,0,0,0.08,0
133587,118568,0,0,0.87,0.21,0,0,0.072,0
183695,188845,0,4,0.99,0.8,0,0,0.012,0
139051,149900,0,3,0.77,0.73,1,0,0.085,0
84081,82465,0,4,0.54,0.24,1,0,0.122,0
131445,128120,0,3,0.92,0.28,0,0,0.029,0
108286,81655,0,3,0.51,0.98,0,1,0.409,0
36498,44372,0,2,0.51,0.25,0,1,0.398,0
197489,215058,0,1,0.7,0.62,0,0,0.106,0
155500,171367,0,4,0.83,0.35,1,0,0.078,0
194574,204066,0,1,0.95,0.89,0,0,0.03,0
145328,158999,0,3,0.69,0.4,1,1,0.31,0
168490,172716,0,0,0.89,0.42,0,0,0.036,0
199976,174288,0,3,0.45,0.18,0,0,0.182,0
195873,203905,0,4,0.65,0.97,1,0,0.102,0
83836,94810,0,0,0.62,0.53,0,0,0.141,0
80557,90618,0,2,0.62,0.2,0,1,0.339,0
89947,109442,0,2,0.5,0.5,0,0,0.201,0
98510,103772,0,1,0.97,0.46,0,0,0.026,0
75736,94721,0,2,0.91,0.4,0,0,0.11,0
151574,158360,0,2,0.53,0.15,1,0,0.133,0
110640,88596,0,3,0.45,0.35,0,1,0.407,0
185958,172460,0,2,0.75,0.91,0,0,0.088,0
110192,88006,0,1,0.96,0.33,0,0,0.08,0
137111,123975,0,4,0.48,0.5,0,1,0.364,0
154677,171493,0,2,0.94,0.69,0,0,0.053,0
119515,128229,0,2,0.46,0.64,0,0,0.161,0
62586,35076,0,4,0.69,0.16,0,0,0.231,0
150808,166684,0,1,0.44,0.84,0,0,0.177,0
186553,187923,0,0,0.88,0.49,0,0,0.033,0
135338,142799,0,0,0.65,0.75,0,0,0.107,0
62827,61344,1,1,0.76,0.43,0,0,0.268,0
176815,157561,0,2,0.63,0.13,0,0,0.131,0
76345,80339,0,2,0.51,0.73,0,0,0.141,0
144902,162296,0,1,0.43,0.47,0,0,0.185,0
185614,203315,0,4,0.66,0.12,0,0,0.118,0
120899,104388,0,0,0.49,0.91,0,1,0.375,0
25580,-2376,0,4,0.51,0.88,0,0,0.505,0
78075,78110,0,0,0.74,0.4,0,0,0.065,0
189242,197917,0,0,0.94,0.5,0,1,0.231,0
42730,41758,0,2,0.71,0.52,0,0,0.08,0
168991,150780,0,0,0.41,0.71,0,0,0.185,0
172514,188140,0,4,0.97,0.65,0,0,0.039,0
65900,76368,0,1,0.94,0.37,1,0,0.071,0
64665,78784,0,0,0.82,0.99,0,0,0.121,0
110715,83004,0,2,0.64,0.44,0,0,0.178,0
93144,108519,0,3,0.51,0.53,0,0,0.18,0
41373,43828,1,1,0.94,0.57,0,1,0.436,0
62882,48776,0,4,0.65,0.33,0,0,0.166,0
144192,163381,0,4,0.8,0.96,0,0,0.097,0
119632,132045,1,1,0.43,0.18,0,0,0.379,0
143787,162153,0,4,0.62,0.48,0,0,0.14,0
118842,101745,0,3,0.57,0.78,1,0,0.158,0
125984,117976,0,0,0.55,0.97,1,0,0.135,0
97374,111498,0,1,0.96,0.44,0,0,0.061,0
86596,57508,0,3,0.4,0.38,0,0,0.268,0
88822,90706,0,4,0.54,0.29,0,0,0.122,0
46928,62428,0,4,0.93,0.15,0,0,0.133,0
85402,60730,0,3,0.47,0.56,0,1,0.434,0
173799,192064,0,3,0.67,0.81,0,0,0.119,0
191138,171336,0,3,0.4,0.32,0,0,0.186,0
137530,153908,0,1,0.63,0.85,0,0,0.134,0
169237,156947,0,1,0.53,0.11,0,0,0.143,0
156038,164230,0,1,0.55,0.55,0,0,0.131,0
72895,90199,0,1,0.51,0.67,0,0,0.206,0
71274,67584,0,1,0.92,0.35,1,0,0.038,0
187863,172057,0,3,0.58,0.47,0,0,0.134,0
116780,104351,0,0,0.76,0.55,1,0,0.097,0
51263,47945,0,1,0.48,0.96,0,0,0.153,0
151959,131205,0,3,0.49,0.21,0,0,0.175,0
94269,87070,0,3,0.66,0.18,0,1,0.312,0
146456,135965,0,1,0.86,0.69,0,0,0.06,0
156213,154505,0,2,0.85,0.45,1,0,0.041,0
86627,83674,0,2,0.87,0.21,1,0,0.044,0
174620,145441,0,2,0.92,0.85,0,0,0.078,0
114087,94661,0,3,0.51,0.44,1,0,0.182,0
39341,54162,0,2,0.76,0.79,0,0,0.192,0
54052,57618,0,0,0.46,0.23,1,0,0.158,0
186086,166705,0,3,0.58,0.16,0,0,0.141,0
34546,34388,0,4,0.62,0.79,0,0,0.097,0
120615,113085,0,2,0.94,0.39,0,0,0.037,0
153419,130705,0,1,0.49,0.95,0,0,0.179,0
60922,77781,0,4,0.58,0.82,0,0,0.202,0
35544,48659,0,4,0.73,0.5,0,0,0.197,0
129668,124807,0,1,0.82,0.22,0,0,0.058,0
92803,97755,0,2,0.93,0.63,0,1,0.236,0
164421,134930,1,2,0.98,0.38,0,0,0.268,0
47845,62841,0,4,0.74,0.51,0,1,0.375,0
94206,104278,0,2,0.57,0.94,0,1,0.345,0
117594,130778,0,4,0.66,0.9,0,0,0.124,0
45294,36925,0,0,0.67,0.61,0,0,0.147,0
137268,146986,0,1,0.76,0.67,0,0,0.085,0
57498,76787,0,4,0.59,0.78,0,0,0.22,0
149055,148283,0,2,0.92,0.2,0,1,0.222,0
80216,78752,0,1,0.92,0.75,0,1,0.226,0
92251,107601,0,1,0.82,0.82,0,0,0.103,0
161247,131579,1,4,0.98,0.18,0,0,0.269,0
97347,72825,0,1,0.89,0.42,0,1,0.316,0
135368,140676,0,1,0.79,0.65,0,0,0.066,0
33881,40625,0,4,0.44,0.13,0,0,0.21,0
105755,92767,0,4,0.45,0.21,0,1,0.38,0
28049,44299,0,1,0.81,0.45,0,0,0.25,0
173752,156706,0,4,0.76,0.92,0,1,0.294,0
155959,168009,0,4,0.9,0.85,0,0,0.052,0
125258,133838,0,2,0.63,0.18,1,1,0.316,0
167321,160058,0,0,0.8,0.31,0,0,0.065,0
24650,42858,0,1,0.44,0.62,0,0,0.399,0
167751,176948,0,3,0.61,0.51,1,0,0.117,0
186571,160901,1,2,0.79,0.31,0,1,0.501,0
89957,85587,0,2,0.99,0.33,0,0,0.02,0
73548,51288,0,1,0.71,0.73,0,0,0.178,0
130600,123305,0,3,0.83,0.39,0,0,0.062,0
86558,89150,0,4,1.0,0.87,1,0,0.01,0
157213,167856,0,0,0.7,0.48,0,0,0.099,0
42904,43899,0,3,0.85,0.73,0,0,0.046,0
83762,63688,0,1,0.95,0.55,0,1,0.296,0
96535,104262,0,2,0.95,0.45,0,0,0.041,0
76022,53074,0,0,0.49,0.62,0,0,0.233,0
66044,59520,0,4,0.96,0.9,0,0,0.045,0
110441,114049,0,0,0.87,0.35,0,1,0.244,0
152552,157367,0,4,0.77,0.86,0,1,0.269,0
119420,107518,0,1,0.75,0.1,0,0,0.097,0
85537,76466,0,2,0.72,0.74,0,0,0.107,0
197075,212459,0,0,0.65,0.46,0,0,0.115,0
152853,170227,0,4,0.65,0.17,0,0,0.127,0
123375,108832,0,3,0.72,0.95,0,0,0.111,0
114395,117738,0,0,0.91,0.67,0,0,0.033,0
32348,34616,0,2,0.55,0.6,0,1,0.337,0
29320,24630,0,4,0.61,0.66,0,0,0.153,0
131072,129595,0,1,0.9,0.64,0,0,0.029,0
198840,179842,1,2,0.5,0.78,0,0,0.358,0
162928,174144,0,3,0.9,0.44,0,0,0.049,0
135239,152062,0,1,0.94,0.2,0,1,0.259,0
121657,121309,0,1,0.69,0.59,0,0,0.079,0
101970,99943,0,4,0.63,0.95,0,0,0.099,0
24882,15376,0,0,0.45,0.5,0,0,0.271,0
109967,113173,0,2,0.72,0.68,0,0,0.08,0
161357,150625,0,2,0.89,0.84,1,0,0.051,0
31078,10950,0,1,0.48,0.37,0,0,0.357,0
89491,104654,0,2,0.66,0.87,0,0,0.144,0
60893,72752,0,4,0.77,0.43,1,0,0.126,0
67955,50395,0,3,0.47,0.84,0,0,0.223,0
180154,180053,0,4,0.85,0.2,0,0,0.038,0
182338,155803,0,0,0.69,0.51,0,0,0.128,0
175562,155358,0,1,0.62,0.2,0,0,0.135,0
140091,128901,1,3,0.84,0.37,0,0,0.268,0
158676,152454,0,3,0.53,0.9,0,0,0.131,0
161284,172269,0,1,0.74,0.66,1,0,0.089,0
97505,103491,0,1,0.57,0.32,1,0,0.129,0
178857,170477,0,3,0.58,0.84,1,0,0.121,0
185914,187618,0,0,0.77,0.68,0,1,0.261,0
111737,89375,0,4,0.42,0.27,0,1,0.415,0
162323,136599,0,1,0.47,0.54,0,0,0.188,0
62281,70014,0,0,0.59,0.24,0,0,0.146,0
161492,149269,0,4,0.67,0.84,1,0,0.109,0
96722,75271,0,4,0.54,0.77,0,0,0.193,0
85129,77535,0,1,0.58,0.19,0,0,0.136,0
81691,92238,0,2,0.8,0.83,0,0,0.095,0
97985,70256,0,0,0.95,0.99,0,0,0.112,0
165811,175147,0,4,0.41,0.47,0,0,0.167,0
191762,176632,0,3,0.86,0.76,0,0,0.063,0
132478,106058,1,4,0.99,0.78,0,0,0.272,0
64284,59914,0,4,0.7,0.49,0,0,0.099,0
184284,165151,0,1,0.48,0.83,0,0,0.166,0
68185,53975,0,4,0.5,0.51,0,0,0.198,0
62380,54944,0,3,0.43,0.13,0,0,0.184,0
103699,117527,0,2,0.52,0.7,1,0,0.167,0
70196,63676,0,0,0.73,0.61,1,0,0.1,0
194379,166175,0,4,0.74,0.62,0,0,0.116,0
49080,37376,0,3,0.98,0.64,0,0,0.088,0
45412,38299,0,2,0.69,0.19,0,0,0.132,0
179916,167065,0,0,0.71,0.26,1,0,0.097,0
111729,100649,0,1,0.54,0.76,1,0,0.15,0
43312,60989,0,0,0.5,0.95,0,0,0.268,0
42081,59601,0,3,0.86,0.75,0,1,0.381,0
120233,137820,1,3,0.61,0.88,1,1,0.549,0
154877,134096,1,3,0.84,0.27,0,0,0.287,0
109137,109662,0,1,0.41,0.41,0,0,0.149,0
141429,142020,0,3,0.99,0.67,0,0,0.004,0
149029,129109,0,2,0.93,0.43,0,0,0.064,0
36343,12123,0,4,0.67,0.96,0,0,0.316,0
159201,148784,0,2,0.76,0.32,0,1,0.283,0
188769,196717,0,2,0.62,0.87,0,1,0.31,0
137887,143457,0,0,0.91,0.34,0,0,0.037,0
158108,161420,0,2,0.89,0.31,1,0,0.035,0
117933,119399,0,2,0.4,0.83,1,0,0.154,0
102098,103393,0,3,0.61,0.35,0,0,0.102,0
122025,92717,0,4,0.93,0.74,0,1,0.302,0
191376,168484,0,1,0.61,0.52,0,0,0.139,0
183749,189571,0,3,0.56,0.79,1,0,0.121,0
112161,94403,0,2,0.86,0.92,0,0,0.09,0
129482,143287,0,2,0.68,0.48,0,0,0.117,0
80697,94058,0,2,0.6,0.9,0,0,0.158,0
199179,172315,0,2,0.93,0.63,0,0,0.065,0
162256,146122,0,2,0.96,0.19,0,0,0.045,0
132884,131965,0,1,0.75,0.46,0,1,0.265,0
191809,165598,0,4,0.45,0.1,0,0,0.185,0
154592,140384,0,1,0.91,0.42,1,0,0.055,0
36179,48066,0,1,0.59,0.46,0,0,0.217,0
70992,90188,0,2,0.49,0.97,0,0,0.222,0
77363,62614,0,2,0.42,0.69,0,0,0.212,0
107721,100966,0,0,0.44,0.85,0,0,0.162,0
24631,42024,0,4,0.86,0.52,0,0,0.282,0
173092,149822,0,4,0.96,0.52,1,0,0.057,0
39802,21612,0,3,0.93,0.43,0,0,0.177,0
144460,131903,0,2,0.89,0.51,0,0,0.058,0
38036,57707,0,4,0.6,0.89,0,0,0.281,0
68451,67122,1,1,0.92,0.61,0,0,0.227,0
177571,187561,0,3,0.91,0.4,0,0,0.042,0
146676,150155,0,2,0.46,0.36,0,0,0.143,0
125698,107233,0,1,0.67,0.53,0,0,0.134,0
55042,26580,0,2,0.44,0.77,0,0,0.321,0
175980,161170,0,4,0.57,0.88,0,0,0.137,0
26668,38365,0,0,0.96,0.7,0,0,0.164,0
31288,1892,1,1,0.86,0.64,0,0,0.564,1
193695,185858,0,1,0.98,0.69,0,0,0.019,0
46920,33315,0,0,0.54,0.47,0,0,0.216,0
84612,90837,0,3,0.66,0.82,1,0,0.111,0
24662,44189,1,3,0.43,0.76,0,0,0.62,1
179456,191509,0,0,0.6,0.96,0,0,0.124,0
36128,38545,0,4,0.92,0.65,0,0,0.043,0
193899,199798,0,1,0.53,0.43,0,0,0.128,0
192255,176448,1,2,0.75,0.22,1,0,0.291,0
140741,118639,0,0,0.89,0.98,0,0,0.082,0
67663,84988,0,3,0.4,0.23,0,1,0.44,0
138014,146000,0,0,0.57,0.67,0,0,0.128,0
118595,102121,0,3,0.52,0.95,0,1,0.369,0
161401,180472,0,4,0.97,0.14,0,1,0.249,0
102399,103428,0,0,0.52,0.69,1,0,0.124,0
44965,29846,0,3,0.54,0.64,0,0,0.233,0
79875,98602,1,2,0.52,0.96,0,0,0.402,0
131304,125564,1,1,0.94,0.38,0,0,0.23,0
22255,24688,0,3,0.81,0.52,0,0,0.086,0
163923,162677,1,3,0.69,0.16,0,0,0.28,0
199468,197147,0,0,0.45,0.92,0,0,0.142,0
166113,180601,0,2,0.49,0.4,1,0,0.158,0
42612,59921,0,1,0.81,0.34,0,0,0.19,0
117017,94976,0,2,0.84,0.77,0,0,0.106,0
111056,109103,0,0,0.95,0.51,0,0,0.019,0
27944,42667,0,2,0.92,0.81,0,0,0.204,0
127257,106274,0,0,0.99,0.53,0,0,0.06,0
131702,120792,0,2,0.4,0.86,1,0,0.179,0
137164,113245,0,4,0.42,0.56,1,0,0.206,0
142899,134678,0,1,0.81,0.55,0,0,0.068,0
166415,154205,0,0,0.83,0.52,0,1,0.268,0
115130,133757,0,4,0.79,0.11,0,0,0.109,0
84476,97465,0,4,0.49,0.48,0,0,0.181,0
160156,145233,0,4,0.56,0.29,1,0,0.143,0
189558,170800,0,3,0.62,0.84,0,1,0.33,0
107279,86948,0,4,0.58,0.2,0,0,0.171,0
73553,47711,0,3,0.86,0.96,0,0,0.158,0
56071,71305,0,1,0.44,0.41,0,0,0.235,0
154556,168907,0,2,0.92,0.43,1,0,0.052,0
48192,59115,0,0,0.44,0.91,0,1,0.419,0
80959,94979,0,1,0.75,0.25,1,0,0.123,0
167834,156454,0,2,0.71,0.56,0,0,0.096,0
79898,85202,0,4,0.53,0.67,0,0,0.141,0
89034,85806,0,4,0.43,0.87,0,1,0.355,0
117622,129869,0,0,0.63,0.28,1,0,0.129,0
179536,193758,0,4,0.67,0.32,0,0,0.11,0
169582,178466,0,4,0.93,0.45,0,0,0.036,0
128426,118249,0,2,0.56,0.39,0,0,0.138,0
104610,87493,0,2,0.69,0.28,0,0,0.135,0
100555,113777,0,1,0.48,0.65,0,1,0.376,0
76488,89379,0,0,0.46,0.36,0,0,0.194,0
109947,105713,1,4,0.78,0.44,0,0,0.268,0
69895,72986,0,2,0.98,0.85,0,1,0.22,0
84822,93703,0,2,0.79,0.8,0,0,0.089,0
105707,100392,0,3,0.72,0.65,0,0,0.088,0
118111,114457,0,0,0.44,1.0,1,0,0.151,0
66931,45134,1,0,0.71,1.0,0,0,0.386,0
183756,177357,0,3,0.45,0.8,0,0,0.15,0
74211,44674,0,4,0.87,0.72,0,0,0.172,0
39080,29123,0,4,0.62,0.26,0,0,0.184,0
32746,36258,0,4,0.95,0.58,0,0,0.05,0
53919,44782,0,0,0.55,0.32,0,1,0.372,0
117113,113626,0,4,0.7,0.36,0,0,0.085,0
192725,206407,0,0,0.8,0.39,0,0,0.075,0
54414,38542,0,1,0.97,0.95,0,0,0.11,0
133708,134936,0,2,0.77,0.2,0,0,0.061,0
30362,20504,0,0,0.58,0.73,1,0,0.219,0
132548,131565,0,0,0.72,0.23,0,0,0.073,0
26685,29249,1,1,0.73,0.42,0,0,0.301,0
52808,25525,1,1,0.83,0.27,0,0,0.423,0
153728,166382,1,2,0.83,0.18,0,0,0.271,0
30019,42614,0,0,0.66,0.53,0,0,0.232,0
168971,171787,0,1,0.92,0.98,0,1,0.226,0
129018,104282,0,4,0.41,0.48,0,0,0.215,0
78809,57370,0,2,0.66,0.9,0,0,0.18,0
21913,-6625,0,2,0.89,0.62,0,0,0.483,0
131969,131886,0,2,0.5,0.43,1,0,0.125,0
186650,193862,0,4,0.44,0.62,0,0,0.154,0
109775,102089,0,2,0.61,0.33,0,0,0.122,0
132755,128021,0,2,0.68,0.84,0,0,0.092,0
116534,123125,0,3,0.74,1.0,0,0,0.085,0
28182,34104,1,2,0.42,0.45,0,0,0.419,0
168108,185904,0,0,1.0,0.5,0,0,0.037,0
153503,166523,0,4,0.95,0.12,0,0,0.042,0
74569,47963,0,4,0.79,0.3,0,0,0.177,0
110351,89554,0,4,0.71,0.29,0,1,0.338,0
89918,78396,0,2,0.43,0.91,0,0,0.187,0
37628,54051,0,1,0.47,0.64,1,0,0.285,0
139475,123857,0,1,0.93,0.95,0,0,0.057,0
26806,38639,0,1,0.63,0.74,0,0,0.247,0
47318,19765,0,3,0.6,0.18,0,0,0.304,0
190540,186269,0,2,0.88,0.96,0,0,0.038,0
49852,33936,1,0,0.84,0.39,0,0,0.352,0
131212,137620,0,3,0.48,0.39,1,0,0.147,0
181483,173057,1,0,0.92,0.32,0,1,0.436,0
52991,61354,0,0,0.57,0.78,0,0,0.163,0
128220,124807,0,3,0.62,0.89,0,1,0.304,0
155488,158236,0,1,0.83,0.8,0,0,0.049,0
53192,24011,0,4,0.51,0.5,0,0,0.315,0
70822,74786,0,4,0.83,0.32,1,0,0.062,0
161713,132983,0,4,0.68,0.69,0,0,0.142,0
23204,-25,0,2,0.77,0.96,0,0,0.408,0
85269,57127,0,0,0.44,0.89,0,0,0.256,0
32067,14167,0,0,0.75,0.42,0,1,0.458,0
40252,39205,0,4,0.6,0.9,0,0,0.109,0
50906,64477,0,1,0.86,0.86,0,0,0.128,0
28455,44581,0,3,1.0,0.52,0,1,0.398,0
94451,93711,0,3,0.65,0.34,1,0,0.09,0
29627,7206,0,1,0.61,0.32,0,0,0.362,0
82261,61484,0,3,0.79,0.34,0,1,0.341,0
41108,20154,0,0,0.91,0.75,0,1,0.401,0
74887,82309,0,1,0.95,0.91,1,0,0.047,0
184563,163845,1,2,0.99,0.82,0,0,0.242,0
74870,76884,1,2,0.76,0.91,0,0,0.269,0
33444,3792,0,4,0.48,0.84,0,0,0.44,0
109369,120924,0,4,0.98,0.55,0,0,0.042,0
119740,93417,0,0,0.61,0.37,1,0,0.174,0
163616,169074,0,4,0.95,0.92,0,0,0.024,0
21975,28938,0,1,0.65,0.64,1,0,0.198,0
59374,42553,0,1,0.72,0.34,0,0,0.169,0
126293,113960,0,4,0.89,0.81,0,0,0.062,0
174915,155572,0,2,0.61,0.27,0,0,0.136,0
143263,122711,0,0,0.9,0.47,0,0,0.075,0
80778,57060,0,2,0.5,0.57,0,0,0.228,0
50006,43340,0,4,0.84,0.59,0,1,0.287,0
169741,146819,0,3,0.93,0.8,0,1,0.265,0
43930,33504,0,0,0.52,0.96,0,0,0.203,0
128108,137216,0,4,0.62,0.4,1,1,0.32,0
44670,52503,0,1,0.98,0.51,0,1,0.266,0
80142,88550,0,1,0.42,0.67,0,0,0.182,0
38405,15341,0,0,0.58,0.56,1,0,0.315,0
65352,65013,0,1,0.96,0.8,0,0,0.012,0
108472,103381,0,0,0.64,0.37,0,1,0.306,0
38083,39859,0,2,0.51,0.41,0,0,0.139,0
66006,76376,0,4,0.86,0.16,0,0,0.09,0
191003,200556,0,1,0.44,0.48,0,1,0.358,0
182546,194440,0,2,0.82,0.36,0,1,0.268,0
183595,164659,0,1,0.46,0.53,0,0,0.171,0
130357,106081,0,3,0.94,0.66,0,0,0.08,0
117196,132381,0,3,0.97,0.77,0,1,0.253,0
63770,76727,0,4,0.45,0.18,0,0,0.209,0
158201,128939,0,3,0.88,0.13,1,0,0.095,0
113018,102214,0,2,0.71,0.2,0,0,0.106,0
131124,141915,0,3,0.6,0.55,1,0,0.129,0
55939,52271,0,4,0.88,1.0,1,0,0.053,0
77382,62460,1,1,0.44,0.95,0,0,0.407,0
78710,55035,0,1,0.55,0.22,0,1,0.418,0
117753,99825,0,2,0.87,0.35,0,0,0.086,0
42901,13129,0,1,0.92,0.42,1,0,0.263,0
135956,134333,0,3,0.72,0.26,0,0,0.074,0
106125,107865,0,0,0.52,0.65,1,0,0.126,0
140499,121453,0,2,0.43,0.14,0,0,0.19,0
101764,113306,0,3,0.86,0.16,0,0,0.075,0
199868,176172,0,1,0.74,0.84,0,0,0.106,0
69110,59750,0,2,0.63,0.47,1,0,0.14,0
193626,192444,0,3,0.58,0.75,0,0,0.107,0
22896,22848,0,4,0.72,0.27,0,0,0.071,0
50216,34297,0,1,0.63,0.46,0,0,0.203,0
109027,91690,0,2,0.43,0.38,0,0,0.198,0
131135,127268,0,4,0.62,0.96,0,1,0.305,0
108078,79058,0,0,0.8,0.58,0,0,0.144,0
173233,160528,0,0,0.74,0.98,0,0,0.091,0
82706,101390,0,2,0.68,0.19,0,0,0.159,0
177979,186595,0,2,0.45,0.28,1,0,0.154,0
28970,32946,0,3,0.57,0.94,0,0,0.156,0
176576,160782,1,4,0.97,0.99,0,0,0.239,0
46652,20817,1,1,0.48,0.42,0,0,0.524,0
60398,46458,0,2,0.61,0.15,0,0,0.178,0
137331,149324,0,3,0.54,0.93,0,0,0.146,0
60774,71265,0,1,0.4,0.47,1,0,0.21,0
144508,137751,0,3,0.58,0.65,0,0,0.121,0
153117,137875,0,4,0.89,0.49,0,1,0.262,0
