age,monthly_income,debt_to_income_ratio,credit_utilization,number_of_existing_loans,years_in_job,credit_history_length,repayment_history_score,loan_amount,loan_tenure,account_balance,income_stability_score,pd_score,default
23,65763,0.35,0.14,0,4,11,0.47,276830,48,419712,0.56,0.33,0
59,191433,0.17,0.65,0,10,1,0.76,398071,60,283677,0.52,0.414,0
26,197606,0.25,0.31,0,2,3,0.89,592551,12,409744,0.6,0.273,0
28,118725,0.07,0.41,1,12,7,0.53,103416,48,128467,0.97,0.261,0
47,151047,0.43,0.38,3,1,13,0.62,771796,48,486328,0.63,0.39,0
29,71935,0.57,0.77,1,3,13,0.7,493267,48,314927,0.39,0.594,0
57,172746,0.32,0.11,2,11,12,0.61,659498,48,157008,0.31,0.334,0
53,145637,0.09,0.43,3,1,9,0.83,155411,48,326067,0.5,0.307,0
44,118552,0.21,0.26,2,9,10,0.45,294850,48,108559,0.35,0.383,0
35,190164,0.09,0.61,2,8,4,0.87,216154,24,292645,0.44,0.374,0
52,162810,0.3,0.17,3,9,2,0.47,590107,24,258103,0.69,0.302,0
52,117044,0.06,0.81,3,11,5,0.56,84041,48,203951,0.81,0.424,0
44,64435,1.36,0.74,0,0,6,0.73,1049098,24,479529,0.5,0.753,1
32,195890,0.35,0.29,2,9,10,0.85,816532,60,167354,0.75,0.269,0
59,162496,0.17,0.54,2,4,10,0.43,336664,36,38567,0.38,0.47,0
22,145175,0.2,0.78,0,7,7,0.73,348336,24,143404,0.56,0.465,0
23,143579,0.18,0.26,3,6,5,0.86,315323,24,352035,0.95,0.174,0
57,179739,0.19,0.7,0,2,14,0.46,413446,12,142025,0.98,0.404,0
37,113939,0.62,0.49,0,1,10,0.98,843680,36,255923,0.84,0.363,0
22,74384,0.42,0.46,0,9,14,0.49,374018,48,136328,0.31,0.506,0
22,73013,1.02,0.34,2,9,3,0.83,893972,48,288545,0.35,0.538,0
48,125010,0.38,0.28,2,14,14,0.46,566427,48,378481,0.4,0.421,0
43,29559,1.99,0.82,0,14,5,0.89,704346,60,166730,0.54,0.898,1
57,93850,0.05,0.11,1,8,14,0.86,51327,12,234080,0.73,0.133,0
52,196446,0.04,0.3,1,2,13,0.83,84778,36,297636,0.94,0.161,0
53,117757,0.14,0.9,0,9,10,0.93,202912,24,485913,0.46,0.472,0
21,124692,0.46,0.25,3,1,7,0.63,692013,12,76958,0.35,0.406,0
39,28735,2.38,0.17,3,9,14,0.88,819200,24,51434,0.88,0.702,1
22,91112,1.02,0.19,1,9,11,0.42,1110768,60,399912,0.73,0.492,0
46,71855,0.32,0.16,2,11,6,0.49,278910,12,35501,0.75,0.288,0
52,93742,0.28,0.79,0,11,13,0.71,317080,12,80923,0.72,0.46,0
26,111578,0.62,0.29,3,13,8,0.73,824801,24,155705,0.98,0.314,0
52,143124,0.24,0.22,3,2,1,0.73,412116,12,461810,0.39,0.313,0
24,137302,0.7,0.53,1,13,10,0.79,1156521,36,375049,0.79,0.444,0
31,78242,0.23,0.88,2,7,7,0.89,211511,24,225854,0.72,0.444,0
37,194090,0.15,0.69,0,9,9,0.43,348762,48,450859,0.32,0.529,0
58,148599,0.49,0.68,2,7,5,0.4,871066,60,23507,0.46,0.588,0
44,120465,0.07,0.67,3,8,13,0.6,107194,24,51689,0.89,0.354,0
25,171064,0.12,0.17,2,3,11,0.5,247927,48,206498,0.8,0.23,0
54,69755,1.43,0.42,1,13,8,0.81,1199651,24,399971,0.36,0.67,1
26,24043,3.48,0.51,2,0,3,0.59,1002793,60,246234,0.43,1.0,1
42,60022,1.1,0.83,2,11,14,0.93,795191,48,381207,0.94,0.592,0
31,49264,0.99,0.66,1,3,13,0.47,584783,24,331468,0.78,0.628,1
36,66329,1.14,0.39,3,4,6,0.81,904680,24,175054,0.91,0.478,0
53,149960,0.61,0.57,1,7,14,0.9,1103981,36,438216,0.71,0.43,0
29,39876,1.25,0.64,1,8,14,0.49,599400,60,156174,0.55,0.728,1
26,94732,0.47,0.38,0,0,3,0.7,537433,36,231272,0.58,0.394,0
36,92290,0.46,0.34,3,11,4,0.95,513522,36,283934,0.71,0.302,0
49,113240,0.38,0.71,0,2,6,0.59,511082,48,225468,0.41,0.544,0
23,67441,0.45,0.71,1,3,12,0.78,360211,60,306010,0.89,0.427,0
40,79155,0.09,0.24,2,2,8,0.9,86859,60,158208,0.73,0.18,0
56,102734,0.8,0.85,2,7,14,0.4,989581,36,332423,0.69,0.68,1
39,28723,2.59,0.45,3,4,9,0.68,892447,12,435316,0.6,0.949,1
46,82058,0.78,0.45,0,1,6,0.74,771308,48,270087,0.54,0.496,0
23,187516,0.46,0.4,0,6,4,0.6,1035236,36,274896,0.58,0.419,0
39,103454,0.39,0.52,2,7,8,0.7,482542,60,11009,1.0,0.339,0
40,131388,0.15,0.13,3,5,10,0.44,234466,36,433114,0.65,0.265,0
52,70636,0.98,0.21,1,12,10,0.6,829755,24,458020,0.65,0.468,0
27,153338,0.19,0.46,1,10,12,0.8,350035,60,367576,0.48,0.352,0
53,131480,0.27,0.81,3,11,12,0.58,421282,36,141669,0.63,0.509,0
59,119622,0.66,0.11,2,7,8,0.91,945239,48,223460,0.9,0.242,0
38,153624,0.05,0.49,1,0,1,0.56,95767,36,435008,0.48,0.376,0
21,82751,0.92,0.89,1,9,3,0.95,915989,12,184009,0.97,0.558,0
31,148619,0.22,0.4,2,6,7,0.99,388814,36,104559,0.73,0.251,0
48,197435,0.22,0.61,1,3,9,0.77,527299,48,53033,0.97,0.32,0
45,170316,0.25,0.36,0,9,3,0.69,507148,60,452070,0.56,0.338,0
43,117073,0.3,0.58,3,1,3,0.44,414989,12,492259,0.65,0.46,0
51,53845,1.55,0.24,1,7,3,0.99,1001754,36,225896,0.8,0.514,0
50,107359,0.69,0.45,1,6,9,0.44,890092,36,60319,0.82,0.478,0
55,22526,2.12,0.35,0,13,8,0.81,571747,12,395561,0.43,0.804,1
27,134205,0.28,0.66,1,13,6,0.86,448626,12,454038,0.56,0.417,0
36,52501,0.61,0.53,3,2,9,0.44,386985,60,359877,0.83,0.484,0
46,53489,1.64,0.55,0,4,14,0.98,1049794,12,254438,0.45,0.716,1
22,127740,0.38,0.4,3,5,14,0.58,588195,24,141828,0.51,0.417,0
21,25801,1.57,0.25,3,1,4,0.66,485562,60,363950,0.94,0.56,0
32,173509,0.25,0.46,2,12,2,0.48,523744,60,390047,0.39,0.45,0
25,117493,0.13,0.86,2,0,2,0.82,182983,36,292203,0.48,0.474,0
57,147556,0.29,0.71,0,10,2,0.96,519594,48,184826,0.51,0.427,0
52,20745,2.35,0.4,1,3,5,0.57,585848,24,187277,0.8,0.854,1
29,164398,0.34,0.89,1,12,14,0.48,677689,48,327511,0.72,0.556,0
55,28124,3.14,0.8,2,1,4,0.95,1059375,60,80726,0.59,1.0,1
39,25599,1.28,0.24,3,2,11,0.54,392184,24,303044,0.78,0.54,0
36,119181,0.11,0.2,1,0,10,0.85,157550,36,300496,0.53,0.222,0
23,188653,0.42,0.71,0,2,11,0.64,947423,48,376182,0.96,0.434,0
40,27764,1.53,0.71,0,3,10,0.75,509650,36,148008,0.96,0.689,1
44,60077,0.55,0.29,1,3,3,0.62,394049,24,467024,0.71,0.373,0
53,161963,0.41,0.17,2,3,5,0.67,788162,12,218488,0.75,0.278,0
44,160726,0.46,0.61,2,7,12,0.91,891283,24,52208,0.52,0.442,0
31,70499,0.77,0.11,3,12,6,0.59,650132,24,245422,0.55,0.403,0
28,49817,0.83,0.76,1,1,4,0.42,495621,36,381540,0.34,0.721,1
56,84811,0.64,0.67,0,9,3,0.44,649259,36,264635,0.89,0.528,0
58,85488,1.0,0.56,1,5,14,0.97,1027750,48,184333,0.47,0.558,0
40,166610,0.1,0.27,0,11,14,0.58,204200,12,94539,0.94,0.216,0
55,45807,2.0,0.43,2,14,13,0.51,1099170,24,53686,0.61,0.826,1
45,34289,1.97,0.76,0,11,14,0.57,809101,12,421017,0.95,0.854,1
55,89797,0.39,0.14,0,9,12,0.65,422487,12,413172,0.9,0.236,0
45,37963,1.21,0.56,3,5,5,0.5,551150,60,136848,0.72,0.654,1
49,115306,0.37,0.35,2,4,11,0.78,518754,12,277088,0.91,0.277,0
38,116527,0.26,0.54,0,14,10,1.0,357520,12,115266,0.95,0.264,0
38,169473,0.25,0.87,2,3,13,0.59,518538,36,160017,0.69,0.511,0
22,154109,0.4,0.85,3,1,14,0.74,733192,12,216241,0.99,0.451,0
55,34501,1.62,0.9,0,3,4,0.96,672603,60,195906,0.54,0.82,1
36,168217,0.22,0.54,0,13,1,0.76,438831,24,492475,0.49,0.394,0
56,64932,1.41,0.19,3,1,10,0.91,1098983,12,319112,0.41,0.555,0
53,67948,0.29,0.61,3,10,5,0.75,236281,48,24887,0.61,0.414,0
24,98374,1.0,0.72,2,13,1,0.79,1184659,48,105088,0.65,0.614,1
53,102518,0.13,0.38,2,12,3,0.53,160435,12,451505,0.4,0.379,0
34,79546,0.6,0.26,2,6,6,0.74,571879,24,39495,0.41,0.411,0
41,89279,0.33,0.78,1,0,5,0.57,358582,48,41551,0.34,0.573,0
40,83039,0.37,0.39,0,3,14,0.8,369832,48,226783,0.32,0.405,0
28,51966,1.38,0.24,0,1,1,0.56,859079,36,318231,0.82,0.553,0
27,192448,0.33,0.79,1,3,7,0.66,769113,48,180019,0.59,0.509,0
23,129929,0.06,0.39,1,8,1,0.8,94041,48,251462,0.87,0.217,0
37,132331,0.4,0.83,1,1,10,0.68,628117,12,339250,0.61,0.532,0
53,157282,0.48,0.82,3,6,9,0.72,912451,12,142040,0.89,0.485,0
32,137252,0.33,0.17,3,7,10,0.62,540820,24,175381,0.79,0.26,0
42,142829,0.03,0.48,2,8,3,0.77,53387,24,180754,0.4,0.341,0
42,119386,0.19,0.78,3,13,14,0.93,266924,48,333268,0.45,0.444,0
50,147982,0.51,0.2,3,11,12,0.73,905872,24,311050,0.33,0.386,0
58,49443,0.22,0.77,1,13,1,0.6,133413,24,115084,0.66,0.472,0
58,76335,0.93,0.6,0,11,5,0.55,848520,60,258333,0.74,0.584,0
28,56426,0.75,0.48,2,11,12,0.97,509225,36,157651,0.41,0.48,0
47,85379,0.73,0.39,2,1,4,0.97,744797,36,230712,0.68,0.389,0
47,166917,0.56,0.26,2,3,9,0.91,1121907,60,412374,0.9,0.269,0
54,95951,0.31,0.13,0,9,13,0.68,352334,60,147624,0.92,0.203,0
41,196449,0.19,0.33,3,12,3,0.75,441485,24,208797,0.45,0.323,0
50,41964,1.96,0.54,2,7,7,0.76,984731,48,415681,0.55,0.817,1
53,161447,0.26,0.79,3,2,5,0.64,495966,60,291190,0.49,0.516,0
48,67531,1.26,0.55,0,2,2,0.61,1021568,24,448317,0.8,0.626,1
53,101684,0.82,0.49,3,13,7,0.94,1006239,12,436020,0.47,0.494,0
25,25913,2.43,0.31,1,3,8,0.96,754398,36,398688,0.56,0.812,1
39,141742,0.59,0.66,0,0,12,0.79,1005563,60,460354,0.73,0.474,0
24,180423,0.04,0.25,0,2,5,0.82,87709,60,277816,0.44,0.246,0
55,194401,0.51,0.26,1,14,13,0.48,1193158,60,434283,0.54,0.414,0
37,111471,0.74,0.89,2,0,1,0.49,992359,36,108917,0.91,0.616,1
48,52938,1.09,0.16,1,11,4,0.42,689743,60,131797,0.4,0.564,0
50,123323,0.05,0.36,0,11,6,0.59,75179,24,167152,0.54,0.312,0
49,171680,0.49,0.2,2,12,2,0.77,1015992,36,150112,0.77,0.284,0
26,71879,0.12,0.14,3,9,2,0.78,106892,36,134147,0.72,0.179,0
55,132033,0.04,0.8,0,8,8,0.58,62715,48,342765,0.38,0.498,0
57,87644,0.45,0.73,0,13,7,0.89,469318,60,48203,0.53,0.484,0
44,83297,0.91,0.81,2,12,13,0.73,907539,24,135584,0.36,0.693,1
49,95386,0.63,0.58,0,7,9,0.48,719825,60,107938,0.4,0.584,0
51,161059,0.6,0.14,1,10,3,0.68,1154343,24,302741,0.33,0.397,0
55,190456,0.51,0.36,0,0,4,0.48,1169482,12,345401,0.92,0.374,0
53,121089,0.46,0.29,2,0,14,0.97,666648,60,408735,0.51,0.32,0
41,110915,0.68,0.2,0,4,12,0.53,911702,36,406463,0.53,0.428,0
52,39388,1.69,0.15,0,8,14,0.52,799596,48,433804,0.75,0.621,1
43,163033,0.54,0.31,1,13,10,0.77,1050930,60,442897,0.4,0.41,0
53,94382,1.05,0.67,0,2,5,0.43,1190375,36,170406,0.82,0.647,1
23,62836,1.0,0.63,0,1,13,0.54,756882,36,454985,0.36,0.69,1
38,44843,0.77,0.26,0,8,11,0.98,416848,48,123313,0.78,0.331,0
45,132715,0.57,0.78,1,13,4,0.48,911613,12,96726,0.56,0.607,1
51,21092,2.32,0.75,2,7,3,0.81,587481,12,14205,0.57,0.966,1
23,62428,1.1,0.67,1,2,13,0.77,826701,36,381618,0.97,0.562,0
44,95049,0.56,0.85,0,8,6,0.43,633315,12,82221,0.99,0.554,0
52,136185,0.22,0.37,1,4,9,0.86,363799,60,189779,0.86,0.24,0
42,191167,0.04,0.86,3,5,9,0.92,93762,24,432581,0.38,0.451,0
43,57761,1.05,0.35,1,3,10,0.84,729478,12,184116,0.68,0.481,0
22,154151,0.14,0.85,0,7,4,0.54,257888,24,258577,0.71,0.483,0
47,62468,1.26,0.84,3,1,1,0.62,941491,24,456823,0.93,0.699,1
22,127317,0.14,0.34,2,8,7,0.73,220369,36,184314,0.84,0.24,0
46,32167,1.06,0.86,0,8,1,0.91,410947,12,148107,0.74,0.636,1
37,153207,0.09,0.29,3,13,6,0.44,163249,24,179101,0.47,0.342,0
53,115772,0.17,0.3,2,13,6,0.53,235809,12,38784,0.49,0.344,0
29,137260,0.12,0.51,1,4,11,0.81,195161,36,488498,0.39,0.368,0
59,41305,0.39,0.53,3,6,6,0.59,191590,60,219854,0.96,0.373,0
49,66422,1.5,0.62,1,11,8,0.9,1193851,36,345975,0.82,0.648,1
46,160238,0.34,0.25,1,7,1,0.71,654008,24,346224,0.43,0.344,0
55,146167,0.21,0.76,3,0,12,0.85,363783,36,97542,0.84,0.38,0
45,127001,0.69,0.39,3,5,7,0.64,1050347,12,273090,0.51,0.479,0
44,136458,0.43,0.1,1,10,11,0.55,702463,60,454356,0.72,0.288,0
33,101993,0.87,0.5,0,9,13,0.57,1065669,60,440086,0.53,0.572,0
27,168036,0.1,0.44,0,10,9,0.5,196468,60,375728,0.94,0.291,0
56,47716,2.03,0.29,2,1,2,0.72,1165134,60,261980,0.55,0.755,1
40,163271,0.44,0.17,0,1,8,0.66,857487,60,354302,0.97,0.244,0
21,37280,1.73,0.73,0,0,9,0.73,773246,48,257588,0.36,0.87,1
28,153505,0.36,0.73,3,6,2,0.84,660798,36,442694,0.92,0.394,0
36,187792,0.11,0.69,3,12,3,0.73,241487,12,304003,0.43,0.437,0
34,153241,0.27,0.26,2,7,11,0.79,501376,60,223274,0.84,0.232,0
32,197926,0.23,0.86,1,12,2,0.81,556877,24,47834,0.4,0.516,0
43,53590,1.35,0.73,1,6,10,0.43,866961,48,328258,0.81,0.745,1
35,143336,0.05,0.42,3,2,14,0.84,83324,60,413373,0.47,0.298,0
48,46787,1.25,0.84,2,5,5,0.82,702138,36,164664,0.33,0.777,1
54,97062,0.29,0.83,2,9,8,0.55,339768,24,108555,0.41,0.571,0
